Species,Locality,Lat,Lon,Elevation(feet),Binary
T_bolivari,Colima ,19.12226,-104.00723,1586.7,1
T_bolivari,Nayarit ,21.75138,-104.84546,1152,1
T_bolivari,Jalisco ,20.65954,-103.34944,5107.6,1
T_bolivari,Oaxaca ,17.05423,-96.71323,5059.2,1
T_bolivari,Ponto 5 ,33.65121,-114.96094,387.6,0
T_bolivari,Ponto 6 ,31.84023,-109.02832,4122.1,0
T_bolivari,Ponto 7 ,31.05293,-101.20605,2670,0
T_bolivari,Ponto 8 ,14.81737,-90.30762,2577,0
T_bolivari,Ponto 9 ,14.30697,-86.83594,6584.3,0
T_bolivari,Ponto 10 ,12.59745,-84.81445,416.6,0
T_bolivari,Ponto 11 ,11.78133,-84.33105,444.5,0
T_bolivari,Ponto 12 ,9.57908,-83.84766,7080.1,0
T_bolivari,Ponto 13 ,31.42866,-94.74609,281.7,0
T_bolivari,Ponto 14 ,33.21112,-90.17578,127,0
T_brasiliensis,State of Alagoas ,-9.57131,-36.78195,765.7,1
T_brasiliensis,State of Bahia ,-12.57974,-41.70073,2969.5,1
T_brasiliensis,State of Cearíç ,-5.4984,-39.32062,613.3,1
T_brasiliensis,Tapera ,-3.94954,-38.35082,110.8,1
T_brasiliensis,Tauíç ,-6.00769,-40.29355,1306.6,1
T_brasiliensis,Jaguaribe ,-5.89273,-38.62199,419,1
T_brasiliensis,State of Maranhí£o ,-4.96095,-45.27442,666.8,1
T_brasiliensis,State of Minas Gerais ,-18.51218,-44.55503,2164.4,1
T_brasiliensis,State of Goiíçs ,-15.82704,-49.83622,2282.4,1
T_brasiliensis,State of Paraí_ba ,-7.23996,-36.78195,1794.8,1
T_brasiliensis,State of Pernambuco ,-8.81372,-36.95411,1478.3,1
T_brasiliensis,Garanhuns ,-8.88286,-36.4969,3086.8,1
T_brasiliensis,Salgadinho ,-7.91462,-35.58767,745,1
T_brasiliensis,State of Piauí_ ,-7.71834,-42.72892,911.4,1
T_brasiliensis,State of Rio Grande do Norte ,-5.40258,-36.95411,179,1
T_brasiliensis,State of Sergipe ,-10.57409,-37.38566,791.8,1
T_brasiliensis,State of Tocantins ,-10.17528,-48.29825,983.2,1
T_brasiliensis,Ponto 18 ,-16.72039,-62.00684,1192,0
T_brasiliensis,Ponto 19 ,-18.06231,-60.60059,1648.3,0
T_brasiliensis,Ponto 20 ,-20.13847,-60.29297,558.5,0
T_brasiliensis,Ponto 21 ,-14.0087,-62.44629,531.5,0
T_brasiliensis,Ponto 22 ,-12.68321,-64.59961,518.4,0
T_brasiliensis,Ponto 23 ,-9.0587,-66.75293,522.7,0
T_brasiliensis,Ponto 24 ,-22.91792,-57.78809,232.9,0
T_brasiliensis,Ponto 25 ,-24.64702,-55.63477,914.4,0
T_brasiliensis,Ponto 26 ,-5.13471,-67.63184,420,0
T_brasiliensis,Ponto 27 ,-27.60567,-53.52539,1570.6,0
T_carcavalloi,State of Rio Grande do Sul ,-30.03463,-51.2177,62.1,1
T_carcavalloi,Sao Jeronimo-RS,-29.96213,-51.72501,50.7,1
T_carcavalloi,Ponto 3 ,-24.60707,-48.16406,281.7,0
T_carcavalloi,Ponto 4 ,-21.9838,-50.53711,1477.4,0
T_carcavalloi,Ponto 5 ,-20.96144,-47.98828,1730.2,0
T_carcavalloi,Ponto 6 ,-19.89072,-52.29492,1355,0
T_carcavalloi,Ponto 7 ,-21.61658,-44.78027,3294,0
T_carcavalloi,Ponto 8 ,-19.26967,-49.57031,1778.1,0
T_carcavalloi,Ponto 9 ,-19.55979,-46.14258,3854.7,0
T_carcavalloi,Ponto 10 ,-17.72776,-51.45996,2681.7,0
T_carcavalloi,Ponto 11 ,-17.22476,-47.90039,2661.2,0
T_carcavalloi,Ponto 12 ,-16.88866,-45.65918,2267.1,0
T_carrioni,El Oro ,-3.25924,-79.95835,41.7,1
T_carrioni,Caí±ar ,-2.49392,-79.10969,4616.6,1
T_carrioni,Azuay ,-2.89431,-78.99683,8299.6,1
T_carrioni,Loja ,-4.00789,-79.21128,7109.4,1
T_carrioni,Zamora-Chinchipe ,-4.15354,-78.83826,7780.2,1
T_carrioni,Piura ,-5.17829,-80.65489,129.2,1
T_carrioni,Cajamarca ,-7.16175,-78.51279,8930.9,1
T_carrioni,Ponto 8 ,-7.1445,-70.57617,721.1,0
T_carrioni,Ponto 9 ,-8.6462,-68.09326,589.4,0
T_carrioni,Ponto 10 ,-6.48998,-64.09424,266.7,0
T_carrioni,Ponto 11 ,-8.23324,-66.18164,423.2,0
T_carrioni,Ponto 12 ,-10.57422,-66.22559,551.2,0
T_carrioni,Ponto 13 ,-0.43945,-57.56836,498.5,0
T_carrioni,Ponto 14 ,-5.61599,-58.79883,285.9,0
T_carrioni,Ponto 15 ,-6.35898,-61.17187,154.2,0
T_carrioni,Ponto 16 ,-0.17578,-54.8877,1328.8,0
T_carrioni,Ponto 17 ,2.81137,-58.71094,650.6,0
T_circummaculata,State of Rio Grande do Sul ,-30.03463,-51.2177,62.1,1
T_circummaculata,Uruguay ,-32.52278,-55.76584,290.9,1
T_circummaculata,Caí_apava do Sul ,-30.51483,-53.48322,1421.8,1
T_circummaculata,Piratini ,-31.44779,-53.09783,1042.5,1
T_circummaculata,Canguí_u ,-31.39648,-52.67879,1282.7,1
T_circummaculata,Alegrete ,-29.79065,-55.79541,292.1,1
T_circummaculata,Dom Feliciano ,-30.70105,-52.10688,421.3,1
T_circummaculata,Ponto 8 ,-19.64259,-52.16309,1332.1,0
T_circummaculata,Ponto 9 ,-19.47695,-49.57031,2155.5,0
T_circummaculata,Ponto 10 ,-20.67391,-58.75488,329.9,0
T_circummaculata,Ponto 11 ,-18.31281,-55.98633,459.3,0
T_circummaculata,Ponto 12 ,-20.67391,-47.72461,2475.2,0
T_circummaculata,Ponto 13 ,-17.30869,-54.31641,2026.9,0
T_circummaculata,Ponto 14 ,-17.26673,-52.60254,2003,0
T_circummaculata,Ponto 15 ,-17.47643,-50.09766,1630.2,0
T_circummaculata,Ponto 16 ,-15.36895,-53.56934,1654.7,0
T_circummaculata,Ponto 17 ,-17.26673,-47.68066,2837.9,0
T_costalimai,State of Goiíçs ,-15.82704,-49.83622,2282.4,1
T_costalimai,State of Mato Grosso ,-12.68187,-56.9211,1044,1
T_costalimai,State of Bahia ,-12.57974,-41.70073,2969.5,1
T_costalimai,Ponto 4 ,-4.56547,-67.06055,321.7,0
T_costalimai,Ponto 5 ,-2.06498,-64.6875,252.6,0
T_costalimai,Ponto 6 ,-1.31824,-63.01758,140.5,0
T_costalimai,Ponto 7 ,0.08789,-57.26074,630,0
T_costalimai,Ponto 8 ,-0.35156,-55.59082,1007.2,0
T_costalimai,Ponto 9 ,-27.01998,-49.57031,1152.7,0
T_costalimai,Ponto 10 ,-27.68353,-53.78906,1371.3,0
T_costalimai,Ponto 11 ,-29.68805,-58.18359,336.8,0
T_costalimai,Ponto 12 ,-29.38218,-61.25977,216.5,0
T_costalimai,Ponto 13 ,-27.83908,-59.98535,206.7,0
T_deaneorum,State of Goiíçs ,-15.82704,-49.83622,2282.4,1
T_deaneorum,State of Mato Grosso ,-12.68187,-56.9211,1044,1
T_deaneorum,Ponto 3 ,-0.52734,-55.7666,1190.6,0
T_deaneorum,Ponto 4 ,0.30762,-60.20508,459.2,0
T_deaneorum,Ponto 5 ,-0.79099,-66.48926,275.8,0
T_deaneorum,Ponto 6 ,2.72358,-65.91797,456,0
T_deaneorum,Ponto 7 ,2.54799,-68.29102,429,0
T_deaneorum,Ponto 8 ,2.98693,-61.43555,344.2,0
T_deaneorum,Ponto 9 ,-0.79099,-72.42187,561.2,0
T_deaneorum,Ponto 10 ,2.76748,-55.37109,932.6,0
T_deaneorum,Ponto 11 ,-2.19673,-68.15918,381,0
T_deaneorum,Ponto 12 ,0.83493,-70.53223,727.9,0
T_delpontei,Buenos Aires Province ,-37.20173,-59.84107,787.6,1
T_delpontei,Catamarca Province ,-28.47159,-65.78772,1808.9,1
T_delpontei,Cordoba ,-31.43547,-64.2009,1385.7,1
T_delpontei,Corrientes Province ,-27.50485,-58.78043,207,1
T_delpontei,La Rioja Province ,-29.41938,-66.85599,1684.2,1
T_delpontei,Salta ,-24.78308,-65.41037,3892.8,1
T_delpontei,Santa Fe ,-31.61066,-60.69729,65.1,1
T_delpontei,Santiago del Estero Province ,-27.79104,-64.27344,618,1
T_delpontei,Tucumíçn ,-26.82211,-65.21929,1487,1
T_delpontei,Chaco Province ,-27.42572,-59.02438,175.6,1
T_delpontei,Jujuy ,-24.18434,-65.30218,4181.7,1
T_delpontei,Formosa Province ,-26.18948,-58.22428,209.8,1
T_delpontei,La Pampa Province ,-36.61476,-64.28392,583.6,1
T_delpontei,Santa Cruz ,-16.7476,-62.0751,1206,1
